time,exit_time,direction,entry,exit,lot,pnl,commission,result,regime,ai_score,spread,slippage,session
2026-01-05 23:55:00+00:00,2026-01-06 00:40:00+00:00,BUY,4439.88684,4431.1291,0.12,-105.51,0.84,SL,TRENDING,0.8,27.8,1.21,NEW_YORK
2026-01-06 04:45:00+00:00,2026-01-06 05:55:00+00:00,BUY,4463.08732,4454.56348,0.24,-205.41,1.68,SL,TRENDING,0.8,56.14,1.17,TOKYO
2026-01-06 13:25:00+00:00,2026-01-06 14:35:00+00:00,BUY,4460.10074,4482.06231,0.23,504.31,1.61,TP,HIGH_VOLATILITY,0.8,33.54,1.76,LONDON
2026-01-06 19:35:00+00:00,2026-01-06 20:55:00+00:00,BUY,4479.13731,4494.43675,0.14,213.7,0.98,TP,TRENDING,0.8,21.27,1.24,NEW_YORK
2026-01-06 23:45:00+00:00,2026-01-07 00:50:00+00:00,BUY,4495.51475,4487.61792,0.14,-111.05,0.98,SL,TRENDING,0.8,31.21,0.51,NEW_YORK
2026-01-07 04:30:00+00:00,2026-01-07 05:30:00+00:00,BUY,4466.40035,4458.23191,0.26,-213.29,1.82,SL,HIGH_VOLATILITY,0.8,31.77,1.12,TOKYO
2026-01-07 10:30:00+00:00,2026-01-07 11:35:00+00:00,BUY,4460.12558,4452.83103,0.25,-183.24,1.75,SL,HIGH_VOLATILITY,0.8,20.97,0.81,LONDON
2026-01-07 21:00:00+00:00,2026-01-08 01:00:00+00:00,BUY,4452.33767,4444.97159,0.09,-66.61,0.63,SL,HIGH_VOLATILITY,0.8,36.08,0.83,NEW_YORK
2026-01-08 06:45:00+00:00,2026-01-08 12:00:00+00:00,SELL,4435.66972,4418.54902,0.15,256.29,1.05,TP,HIGH_VOLATILITY,0.8,30.39,1.03,TOKYO
2026-01-08 23:50:00+00:00,2026-01-09 00:25:00+00:00,BUY,4473.91738,4466.61978,0.12,-87.99,0.84,SL,TRENDING,0.8,26.25,0.48,NEW_YORK
2026-01-09 04:15:00+00:00,2026-01-09 13:30:00+00:00,BUY,4462.85851,4483.27843,0.2,407.7,1.4,TP,HIGH_VOLATILITY,0.8,58.82,0.93,TOKYO
2026-01-12 04:35:00+00:00,2026-01-12 05:45:00+00:00,BUY,4564.27012,4583.56955,0.25,481.61,1.75,TP,TRENDING,0.8,35.95,0.65,TOKYO
2026-01-12 10:10:00+00:00,2026-01-12 12:05:00+00:00,BUY,4587.06092,4579.53948,0.3,-226.69,2.1,SL,HIGH_VOLATILITY,0.8,23.53,1.22,LONDON
2026-01-12 20:10:00+00:00,2026-01-12 20:40:00+00:00,BUY,4600.8313,4593.37829,0.15,-112.32,1.05,SL,HIGH_VOLATILITY,0.8,25.15,1.07,NEW_YORK
